Region,Coordinates,Image,Description,Cities
CAR - Cordillera Administrative Region,"17.3, 120.6",https://lamadridblog.wordpress.com/wp-content/uploads/2016/11/yahooo.jpg,"The Cordillera Administrative Region (CAR) is the only land-locked region in the Philippines, located in North-Central Luzon. Its regional center is Baguio, the Summer Capital of the Philippines. Known for its rugged and mountainous terrain, CAR is home to indigenous tribes with a unique culture. The region, dubbed the “Watershed Cradle of North Luzon,” hosts nine major rivers essential for irrigation and energy. It is also rich in natural resources and mineral reserves. For more information, click here: https://www.dti.gov.ph/regions/car/profile/ ","Tabuk, Baguio"
Region IV-B - MIMAROPA,"9.7, 118.7",https://depedmimaroparegion.ph/wp-content/uploads/2023/06/mimaropa3-1024x801.jpg,"Situated at the heart of the Philippine archipelago, MIMAROPA is known as the ""Treasure Trove of Southern Luzon."" The name of the region is derived from the initial letters of its constituent provinces: Mindoro Occidental, Mindoro Oriental, Marinduque, Romblon, and Palawan. The region boasts only two cities: Calapan City in Oriental Mindoro and Puerto Princesa City in Palawan, alongside 71 municipalities. It is envisioned to play a crucial role in the country's RO-RO network, serving as part of its backbone. For more information, click here: https://www.dti.gov.ph/regions/mimaropa/profile/","Calapan, Puerto Princesa"
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,"6.9, 124.4",https://www.vigattintourism.com/assets/article_main_photos/optimize/1348221898bv7Xa0J3.jpg,"Bangsamoro Autonomous Region in Muslim Mindanao, officially designated as BARMM was formed in February 2019, following the Plebiscites that accepted the Bangsamoro Organic Law. It is an administrative region in the Philippines grouped under the Mindanao island group that covers 5 provinces, namely, Basilan, Lanao del Sur, Maguindanao, Sulu, and Tawi?Tawi. The regional center is the City of Cotabato. Its population represents 16.78% of the overall population of the Mindanao island group, or 4.04% of the entire population of the Philippines. For more information, click here: https://www.philatlas.com/mindanao/barmm.html ","Cotabato, Marawi, Lamitan"
Region II - Cagayan Valley,"17.6091, 121.7269",https://www.vigattintourism.com/assets/article_main_photos/optimize/1348191291FKaOhwnF.jpg,"Region II, known as Cagayan Valley, occupies a strategic position in the northeastern part of mainland Luzon. Covering a total land area of 26,388 square kilometers, it ranks as the second largest region in the Philippines. Bordered by the Cordillera mountain range to the west, the Sierra Madre to the east, the Caraballo Mountains to the south, and the Luzon Strait to the north, Cagayan Valley benefits from natural barriers provided by the eastern mountains, which shield it from destructive winds during typhoon season. For more information, click here: https://www.dti.gov.ph/regions/region-2/profile/","Tuguegarao, Cauayan, Ilagan, Santiago"
Region IX - Zamboanga Peninsula,"7.8, 123.2",https://www.vigattintourism.com/assets/article_main_photos/optimize/1348134467tr8lXfPB.jpg,"The Zamboanga Peninsula Region, located at the southernmost part of the Philippine archipelago, lies at the western tip of Mindanao. Its strategic location places it near Sabah, Malaysia, Brunei Darussalam, and Indonesia. The region comprises three provinces—Zamboanga del Norte, Zamboanga Sibugay, and Zamboanga del Sur—and five cities. It is recognized as one of the key centers of trade and commerce in Mindanao. For more information, click here: https://www.dti.gov.ph/regions/region-9/profile/","Dapitan, Dipolog, Pagadian, Zamboanga, Isabela"
Region XII - SOCCSKSARGEN,"6.1, 124.9",https://www.vigattintourism.com/assets/article_main_photos/optimize/1348214819OtcPHeFy.jpg,"Region XII, also known as the SOCCSKSARGEN Region, is situated in South Central Mindanao and comprises four provinces and five cities. The economic profile of Region 12 is analyzed at four levels: the regional level, which provides an overview of SOCCSKSARGEN's socio-economic status; the provincial level, which details the socio-economic conditions of the four provinces; the city level; and the municipal level, offering a broad view of the socio-economic situation in the region's cities and municipalities, respectively. For more information, click here: https://www.dti.gov.ph/regions/region-12/profile/","Kidapawan, Cotabato, General Santos, Koronadal, Tacurong"
Region XI - Davao Region,"7.1, 125.6",https://www.eaglenews.ph/wp-content/uploads/2015/10/Region11.jpeg,"Davao Region is considered Mindanao’s hub for trade and investments, hosting numerous multinational companies that have set up their hubs and branches in the area. The region's robust economic landscape is supported by its abundant natural resources, reliable infrastructure, favorable business environment, and skilled workforce. Its extensive road network, along with its airport and seaport facilities, effectively facilitates travel and trade, positioning Davao as a key gateway to ASEAN and Pacific economies. For more information, click here: https://www.dti.gov.ph/regions/region-11/","Davao, Tagum, Samal, Panabo, Mati, Digos"
Region XIII - Caraga,"8.7, 126.0",https://image.vigattin.com/box/optimize/81/913_8290123582100236436.jpg,"Caraga, an administrative region in the northeastern part of Mindanao, Philippines, comprises five provinces, six cities, 67 municipalities, and 1,311 barangays, with Butuan City as the regional center. Covering a total area of 18,846.97 km², Caraga makes up 6.3% of the country's total land area and 18.5% of Mindanao. In 2020, the region contributed 1.6% to the national GDP, with key industries including fishery and aquaculture, agriculture, mining, ecotourism, and agroforestry. By 2022, Caraga aims to become the Philippines' center for fishery, agroforestry, minerals, and eco-tourism (FAME). For more information, click here: https://www.dti.gov.ph/regions/caraga/profile/","Butuan, Cabadbaran, Bayugan, Surigao, Bislig, Tandag"
Region V - Bicol Region,"13.3, 123.3",https://i.pinimg.com/originals/2e/93/e0/2e93e07ca82f306590372bca416891f6.jpg,"Geographically situated at the southernmost tip of Luzon, the Bicol Region spans a total land area of 17,362 square kilometers, constituting 5.67% of the Philippines' land area. Serving as Luzon's gateway to the Visayas and Mindanao, it also lies within international seas, making it a gateway to the Pacific. Positioned centrally among industrialized nations, the region serves as a strategic launchpad for accessing markets and conducting business in the Pacific Rim, Europe, and the United States. For more information, click here: https://www.dti.gov.ph/regions/region-5/profile/","Legazpi, Naga, Iriga, Tabaco, Ligao, Sorsogon, Masbate"
Region VIII - Eastern Visayas,"11.2, 125.0",https://image.vigattin.com/box/optimize/81/313_15579079531238074390.jpg,"Eastern Visayas is situated directly facing the Pacific Ocean and comprises three primary islands: Leyte, Samar, and Biliran, which are linked by the San Juanico Bridge. The region consists of six provinces, with Tacloban City serving as its Highly Urbanized City and regional center. These provinces and cities are located on the easternmost islands of the Visayas group. Notably, Eastern Visayas is one of only two regions in the Philippines with no land border with another region, with MIMAROPA being the other. For more information, click here: https://www.dti.gov.ph/regions/region-8/profile/","Borongan, Baybay, Ormoc, Tacloban, Calbayog, Catbalogan, Maasin"
Region X - Northern Mindanao,"8.5, 124.0",https://www.vigattintourism.com/assets/article_main_photos/optimize/1348192566l3MLLk73.jpg,"Strategically positioned in the southern Philippines on the resource-rich island of Mindanao, Northern Mindanao (Region 10) is a diverse region known for its high quality of life and sustained economic growth. It houses the Phividec Industrial Estate, the nation's largest industrial estate, accommodating light to medium industries. Additionally, the region is home to major multinational corporations that have been established there for decades. For more information, click here: https://www.dti.gov.ph/regions/region-10/profile/","Malaybalay, Valencia, Iligan, Oroquieta, Ozamiz, Tangub, Cagayan de Oro, El Salvador, Gingoog "
Region I - Ilocos Region,"18.145, 120.545",https://i.pinimg.com/originals/5d/d4/93/5dd49301392972c928a461470c7cd797.jpg,"The Ilocos Region, also known as Region I, is situated in the northwest of Luzon, Philippines. It is bordered by the Cordillera Administrative Region and Cagayan Valley to the east, Central Luzon to the south, and the South China Sea to the west. Comprising four provinces—namely, Ilocos Norte, Ilocos Sur, La Union, and Pangasinan—the region's administrative center is San Fernando City, La Union. The majority of the population speaks Ilocano (66%), followed by Pangasinan (27%), and Tagalog (3%). For more information, click here:  https://www.dti.gov.ph/regions/region1/profile/#:~:text=The%20region%20is%20composed%20of,and%20the%20 Tagalogs%20 compose%203%25.","Batac, Laoag, Candon, Vigan, San Fernando, Alaminos, Dagupan, San Carlos, Urdaneta"
